"FID_";"TABID";"POINT_X";"POINT_Y";"demH"
;1367288;8.0711;61.6569;910
;1367289;8.0898;61.6579;905
;1367290;8.1086;61.6588;1023
;1367291;8.1273;61.6598;1056
;1367292;8.1461;61.6607;1000
;1367293;8.1648;61.6616;1043
;1367294;8.1836;61.6626;895
;1367295;8.2023;61.6635;1050
;1367296;8.2211;61.6645;1197
;1367297;8.2398;61.6654;1414
;1367298;8.2586;61.6663;1825
;1367299;8.2773;61.6672;1836
;1367300;8.2961;61.6682;1419
;1367301;8.3148;61.6691;1823
;1367302;8.3336;61.67;2165
;1367303;8.3524;61.6709;1838
;1367304;8.3711;61.6718;1844
;1367305;8.3899;61.6727;1675
;1367306;8.4087;61.6737;1436
;1367307;8.4274;61.6746;1140
;1367308;8.4462;61.6755;1015
;1367309;8.4649;61.6764;1375
;1367310;8.4837;61.6773;1593
;1367311;8.5025;61.6782;1784
;1367312;8.5213;61.6791;1900
;1367313;8.54;61.6799;1769
;1367314;8.5588;61.6808;2017
;1368473;7.8858;61.6383;1544
;1368474;7.9045;61.6393;1460
;1368475;7.9232;61.6403;1460
;1368476;7.942;61.6413;1568
;1368477;7.9607;61.6422;1408
;1368478;7.9794;61.6432;1364
;1368479;7.9981;61.6442;1267
;1368480;8.0169;61.6451;1287
;1368481;8.0356;61.6461;1286
;1368482;8.0543;61.6471;1353
;1368483;8.0731;61.648;1209
;1368484;8.0918;61.649;1120
;1368485;8.1106;61.6499;926
;1368486;8.1293;61.6509;1047
;1368487;8.148;61.6518;1176
;1368488;8.1668;61.6527;973
;1368489;8.1855;61.6537;952
;1368490;8.2043;61.6546;1341
;1368491;8.223;61.6555;1515
;1368492;8.2418;61.6565;1838
;1368493;8.2605;61.6574;2048
;1368494;8.2793;61.6583;2091
;1368495;8.298;61.6593;1609
;1368496;8.3168;61.6602;2020
;1368497;8.3355;61.6611;2201
;1368498;8.3543;61.662;1947
;1368499;8.373;61.6629;1875
;1368500;8.3918;61.6638;1672
;1368501;8.4106;61.6647;1423
;1368502;8.4293;61.6656;989
;1368503;8.4481;61.6665;1146
;1368504;8.4669;61.6674;1504
;1368505;8.4856;61.6683;1767
;1368506;8.5044;61.6692;1931
;1368507;8.5231;61.6701;1910
;1368508;8.5419;61.671;2004
;1369668;7.8878;61.6294;1678
;1369674;8.0002;61.6353;1348
;1369675;8.0189;61.6362;1322
;1369676;8.0376;61.6372;1268
;1369677;8.0563;61.6381;947
;1369678;8.0751;61.6391;1086
;1369679;8.0938;61.64;1010
;1369680;8.1125;61.641;1175
;1369681;8.1313;61.6419;1457
;1369682;8.15;61.6429;1577
;1369683;8.1688;61.6438;946
;1369684;8.1875;61.6448;1222
;1369685;8.2062;61.6457;1741
;1369686;8.225;61.6466;1968
;1369687;8.2437;61.6476;1763
;1369688;8.2625;61.6485;2089
;1369689;8.2812;61.6494;1979
;1369690;8.3;61.6503;1787
;1369691;8.3187;61.6513;2263
;1369692;8.3375;61.6522;2047
;1369693;8.3562;61.6531;1975
;1369694;8.375;61.654;1885
;1369695;8.3937;61.6549;1639
;1369696;8.4125;61.6558;1271
;1369697;8.4312;61.6567;1051
;1369698;8.45;61.6576;1265
;1369699;8.4687;61.6585;1527
;1369700;8.4875;61.6594;1738
;1369701;8.5063;61.6603;1768
;1369702;8.525;61.6612;1887
;1369703;8.5438;61.6621;2091
;1370869;8.0022;61.6264;1291
;1370870;8.0209;61.6273;1145
;1370871;8.0396;61.6283;1110
;1370872;8.0584;61.6292;1301
;1370873;8.0771;61.6302;1432
;1370874;8.0958;61.6311;1375
;1370875;8.1145;61.6321;1630
;1370876;8.1333;61.633;1899
;1370877;8.152;61.634;1641
