*Time*          *Precip*      *Precip*     *Precip*     *Temp*         *Temp*         *Temp*
                 Selbu         Berkaak      Roros        Selbu          Berkaak        Roros      
19880416/1200    2.000000      2.000000     2.000000     4.100000       3.300000       4.400000           
19880417/1200    4.500000      5.700000     7.700000     -0.500000      -1.800000      -0.800000          
19880418/1200    4.500000      6.099999     4.100000     -1.600000      -2.400000      -3.300000          
19880419/1200    1.600000      0.200000     0.000000     -1.100000      -4.100000      -7.200000          
19880420/1200    0.000000      0.000000     0.000000     -0.500000      -2.600000      -3.300000          
19880421/1200    0.000000      0.100000     0.000000     -3.300000      -3.200000      -4.400000          
19880422/1200    0.100000      0.200000     0.200000     -3.800000      -7.400000      -6.400000          
19880423/1200    3.800000      0.400000     1.100000     -2.000000      -4.200000      -5.100000          
19880424/1200    4.000000      0.200000     0.200000     -1.500000      -3.900000      -6.100000          
19880425/1200    4.200000      5.400000     0.700000     -0.700000      -2.100000      -2.800000          
19880426/1200    0.000000      0.600000     0.000000     -2.100000      -3.200000      -6.400000          
19880427/1200    0.000000      0.000000     0.000000     0.000000       -2.400000      -5.900000          
19880428/1200    0.000000      0.000000     0.000000     2.100000       0.800000       -2.900000          
19880429/1200    0.000000      0.000000     0.000000     3.400000       2.100000       -1.100000          
19880430/1200    0.000000      0.000000     0.000000     5.400000       4.000000       1.000000           
19880501/1200    0.000000      4.500000     0.000000     4.200000       4.100000       2.200000           
19880502/1200    0.000000      0.100000     0.100000     4.200000       3.300000       4.300000           
19880503/1200    2.600000      1.800000     1.000000     3.200000       1.800000       3.200000           
19880504/1200    2.200000      3.800000     0.400000     4.300000       3.100000       3.000000           
19880505/1200    0.000000      0.000000     0.000000     7.600000       6.400000       5.000000           
19880506/1200    3.000000      1.100000     0.000000     6.800000       5.300000       4.700000           
19880507/1200    3.000000      1.200000     0.700000     7.900000       7.700000       6.200000           
19880508/1200    0.300000      0.000000     0.000000     10.100000      9.800000       5.800000           
19880509/1200    0.000000      0.000000     0.000000     11.700000      8.700000       8.000000           
19880510/1200    0.000000      0.000000     0.000000     11.000000      9.100000       7.700000           
19880511/1200    0.000000      0.000000     0.000000     11.700000      9.200000       7.300000           
19880512/1200    0.000000      0.000000     0.000000     13.200000      11.800000      7.600000           
19880513/1200    0.000000      0.000000     0.000000     11.600000      10.300000      7.500000           
19880514/1200    0.000000      0.000000     0.000000     8.800000       8.600000       7.200000           
19880515/1200    0.000000      0.000000     0.000000     5.400000       5.900000       4.600000           
19880516/1200    0.000000      0.000000     0.000000     9.500000       8.400000       7.100000           
19880517/1200    4.500000      5.000000     0.000000     4.500000       2.100000       3.600000           
19880518/1200    3.200000      1.000000     3.800000     2.300000       1.100000       2.400000           
