*Time*            *Precip*    *Temp*
Saeternbekken
19960910/0400     0       6.65              
19960910/0500     0       7.45              
19960910/0600     0       8.85              
19960910/0700     0       9.2               
19960910/0800     0       10.6              
19960910/0900     0       9.95              
19960910/1000     0       11.25             
19960910/1100     0       11.9              
19960910/1200     0       12.3              
19960910/1300     0       12.7              
19960910/1400     0       12.6              
19960910/1500     0       11.3              
19960910/1600     0       10.9              
19960910/1700     0       8.95              
19960910/1800     0       7.95              
19960910/1900     0       7.25              
19960910/2000     0       6.6               
19960910/2100     0       5.6               
19960910/2200     0       5.35              
19960910/2300     0       3.9               
19960911/0000     0       3.25              
19960911/0100     0       4.05              
19960911/0200     0       3.8               
19960911/0300     0       3.1               
19960911/0400     0       2.5               
19960911/0500     0       1.9               
19960911/0600     0       1.8               
19960911/0700     0       5.65              
19960911/0800     0       8.35              
19960911/0900     0       9.1               
19960911/1000     0       9.15              
19960911/1100     0       9.9               
19960911/1200     0       9.5               
19960911/1300     0       9.65              
19960911/1400     0       8.75              
19960911/1500     0.36    7.65              
19960911/1600     1.02    6.6               
19960911/1700     1.73    6.3               
19960911/1800     2.45    5.6               
19960911/1900     3.06    5.25              
19960911/2000     1.43    5.15              
19960911/2100     0.82    5                 
19960911/2200     0.61    4.65              
19960911/2300     0.71    4                 
19960912/0000     0.77    3.5               
19960912/0100     0.1     3.25              
19960912/0200     0       3                 
19960912/0300     0.31    2.65              
19960912/0400     0.31    2.6               
19960912/0500     0.41    2.65              
19960912/0600     0.31    2.9               
19960912/0700     0.1     3.15              
19960912/0800     0.1     4                 
19960912/0900     0.1     6.15              
19960912/1000     0       6.85              
19960912/1100     0       7.65              
19960912/1200     0       8.4               
19960912/1300     0       8.45              
19960912/1400     0       8.6               
19960912/1500     0       7.85              
19960912/1600     0       7.9               
19960912/1700     0       8.15              
19960912/1800     0       8.05              
19960912/1900     0       6.6               
19960912/2000     0.31    5.95              
19960912/2100     0.92    5.15              
19960912/2200     1.63    4.9               
19960912/2300     1.12    5.05              
